CFI = 2.32095 Paras = ['0.68921518', '0.50717223', '2.57772350', '0.50717229', '0.22331934', '2.89938927']
CFI = 2.32617 Paras = ['0.68816543', '0.55115384', '2.65154457', '0.55115384', '0.22608845', '2.87002563']
CFI = 2.32619 Paras = ['0.68813944', '0.56264192', '2.66491246', '0.56264192', '0.22619583', '2.86870861']
CFI = 2.32619 Paras = ['0.68816394', '0.57273811', '2.67511153', '0.57273811', '0.22620216', '2.86869454']
CFI = 2.32619 Paras = ['0.68816370', '0.58273757', '2.68511605', '0.58273757', '0.22620238', '2.86869049']
CFI = 2.32619 Paras = ['0.68816686', '0.59268075', '2.69505811', '0.59268075', '0.22620155', '2.86869669']
CFI = 2.32619 Paras = ['0.68816334', '0.60275024', '2.70512962', '0.60275030', '0.22620228', '2.86868930']
CFI = 2.32619 Paras = ['0.68816710', '0.61264837', '2.71502495', '0.61264825', '0.22620109', '2.86869740']
CFI = 2.32618 Paras = ['0.68816388', '0.62233472', '2.72470379', '0.62233460', '0.22620025', '2.86869001']
CFI = 2.32619 Paras = ['0.68816656', '0.63265508', '2.73503065', '0.63265508', '0.22620289', '2.86869621']
CFI = 2.32619 Paras = ['0.68816376', '0.64267880', '2.74505615', '0.64267880', '0.22620115', '2.86869001']
CFI = 2.32619 Paras = ['0.68816650', '0.65266573', '2.75504255', '0.65266573', '0.22620113', '2.86869597']
CFI = 2.32619 Paras = ['0.68816370', '0.66274941', '2.76512837', '0.66274947', '0.22620265', '2.86869049']
CFI = 2.32619 Paras = ['0.68816680', '0.67275369', '2.77513289', '0.67275363', '0.22620147', '2.86869693']
CFI = 2.32619 Paras = ['0.68816346', '0.68261689', '2.78499269', '0.68261677', '0.22620304', '2.86868978']
CFI = 2.32619 Paras = ['0.68816668', '0.69261891', '2.79499435', '0.69261879', '0.22620173', '2.86869645']
CFI = 2.32619 Paras = ['0.68816370', '0.70274717', '2.80512571', '0.70274717', '0.22620407', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '0.71270597', '2.81508374', '0.71270597', '0.22620313', '2.86869645']
CFI = 2.32619 Paras = ['0.68816376', '0.72275150', '2.82513070', '0.72275150', '0.22620215', '2.86869049']
CFI = 2.32619 Paras = ['0.68816692', '0.73268396', '2.83506155', '0.73268396', '0.22620255', '2.86869693']
CFI = 2.32619 Paras = ['0.68816382', '0.74275059', '2.84513044', '0.74275059', '0.22619985', '2.86869025']
CFI = 2.32619 Paras = ['0.68816692', '0.75264573', '2.85502243', '0.75264573', '0.22620068', '2.86869717']
CFI = 2.32619 Paras = ['0.68816388', '0.76274884', '2.86512804', '0.76274890', '0.22620177', '2.86869073']
CFI = 2.32619 Paras = ['0.68816668', '0.77275366', '2.87513256', '0.77275366', '0.22620277', '2.86869693']
CFI = 2.32619 Paras = ['0.68816346', '0.78267211', '2.88504910', '0.78267211', '0.22620256', '2.86869001']
CFI = 2.32619 Paras = ['0.68816710', '0.79275036', '2.89512920', '0.79275012', '0.22620064', '2.86869740']
CFI = 2.32619 Paras = ['0.68816376', '0.80275220', '2.90513158', '0.80275220', '0.22620185', '2.86869049']
CFI = 2.32619 Paras = ['0.68816650', '0.81275338', '2.91513252', '0.81275332', '0.22620405', '2.86869645']
CFI = 2.32619 Paras = ['0.68816346', '0.82275379', '2.92513347', '0.82275385', '0.22620122', '2.86868954']
CFI = 2.32619 Paras = ['0.68816680', '0.83275348', '2.93513227', '0.83275354', '0.22620372', '2.86869717']
CFI = 2.32619 Paras = ['0.68816358', '0.84267187', '2.94504905', '0.84267175', '0.22620301', '2.86869001']
CFI = 2.32619 Paras = ['0.68816674', '0.85275018', '2.95512891', '0.85275006', '0.22620161', '2.86869669']
CFI = 2.32619 Paras = ['0.68816382', '0.86275369', '2.96513319', '0.86275375', '0.22620040', '2.86869049']
CFI = 2.32619 Paras = ['0.68816686', '0.87262028', '2.97499633', '0.87262034', '0.22620232', '2.86869717']
CFI = 2.32619 Paras = ['0.68816400', '0.88274789', '2.98512721', '0.88274777', '0.22619975', '2.86869073']
CFI = 2.32619 Paras = ['0.68816650', '0.89275378', '2.99513292', '0.89275366', '0.22620165', '2.86869621']
CFI = 2.32619 Paras = ['0.68816346', '0.90268397', '3.00506210', '0.90268409', '0.22620025', '2.86868930']
CFI = 2.32619 Paras = ['0.68816668', '0.91275078', '3.01512980', '0.91275078', '0.22620037', '2.86869645']
CFI = 2.32619 Paras = ['0.68816358', '0.92275155', '3.02513075', '0.92275155', '0.22620186', '2.86869001']
CFI = 2.32619 Paras = ['0.68816686', '0.93267250', '3.03504992', '0.93267250', '0.22620127', '2.86869669']
CFI = 2.32619 Paras = ['0.68816364', '0.94274986', '3.04512906', '0.94274998', '0.22620054', '2.86869001']
CFI = 2.32619 Paras = ['0.68816710', '0.95261014', '3.05498528', '0.95261014', '0.22620425', '2.86869740']
CFI = 2.32619 Paras = ['0.68816376', '0.96274722', '3.06512594', '0.96274716', '0.22620118', '2.86869049']
CFI = 2.32619 Paras = ['0.68816662', '0.97275132', '3.07513070', '0.97275132', '0.22620147', '2.86869621']
