Case,gate length,Theta,Phi,dt,combination,fidelity,total time,computing time
case1,19,1.443367425,2.090918812,2.64,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1, 3, 3, 2, 4, 1, 1, 3, 3]",0.9999831607562994,50.160000000000004,21.35818910598755
case2,33,2.71651105,1.00250731,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 4, 4]",0.9991999884885606,85.8,843.7662069797516
case3,35,3.133296975,5.519256154,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 4, 0, 1]",0.9999791280745935,91.0,0.2143568992614746
case4,26,2.09948416,5.74289842,2.61,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2]",0.9999707062726005,67.86,843.4979450702667
case5,32,3.080445106,3.689470639,2.62,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",0.9970754675020471,83.84,766.1195042133331
case6,27,2.637630886,0.319728254,2.58,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",0.9933877096224526,69.66,611.5882737636566
case7,11,0.7932173924501862,0.288204826770076,2.7,"[4, 4, 1, 1, 3, 3, 2, 4, 0, 2, 1]",0.9999096053693144,29.700000000000003,0.03569674491882324
case8,18,1.318244229,2.492473958,2.65,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 1, 4, 4, 3, 1]",0.9999159436503721,47.699999999999996,0
case9,11,0.925199804,3.404637222,2.73,"[3, 3, 2, 2, 4, 1, 1, 1, 1, 3, 2]",0.9999198053591457,30.03,8.612696886062622
case10,11,0.6557510409999392,5.030385409384521,2.73,"[2, 2, 4, 4, 1, 1, 3, 1, 0, 1, 4]",0.9999749746457495,30.03,0.031137943267822266
case11,5,0.567127681,0.375184175,3.03,"[2, 2, 4, 4, 1]",0.9996891488940903,15.149999999999999,4.4257097244262695
